"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"787","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 22:02:57,FALSE,NA,"803358544489811968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Gracilu_",63,TRUE,FALSE,NA,NA
"788","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 22:01:27,FALSE,NA,"803358169313538048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TabuJAB",63,TRUE,FALSE,NA,NA
"789","RT @rtve: #CRincendios Si nosotros no gestionamos el monte, lo hará el fuego. Mañana en #Crónicas 'La huella del fuego' <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/9MPv…",FALSE,0,NA,2016-11-28 21:57:14,FALSE,NA,"803357106673958912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OscardeMarcosG",44,TRUE,FALSE,NA,NA
"790","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:51:46,FALSE,NA,"803355731386892289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LopezD_Jesus",63,TRUE,FALSE,NA,NA
"791","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:49:56,FALSE,NA,"803355268444815360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","josemcolchero",63,TRUE,FALSE,NA,NA
"792","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:46:41,FALSE,NA,"803354452476522496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JuanDiego_6_",29,TRUE,FALSE,NA,NA
"793","RT @tve_tve: Esta noche #CRincendios aborda la verdad de los incendios forestales en España ¿Son probables, o seguros? https://t.co/8KkvPRv…",FALSE,0,NA,2016-11-28 21:43:59,FALSE,NA,"803353773322145792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JaviBlancoF",29,TRUE,FALSE,NA,NA
"794","#TV <ed><U+00A0><U+00BD><ed><U+00B3><U+00BA> | Esta noche en @la2_tve:
23:30 #CrónicasTVE <U+279E> #CRincendios
00:15 #La2n con @maratorres_
00:40 @Millennium_TVE <U+279E> #MillenniumTVE",FALSE,5,NA,2016-11-28 21:32:49,FALSE,NA,"803350961947377668",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cscean",3,FALSE,FALSE,NA,NA
"795","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:32:32,FALSE,NA,"803350892451921921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JavierLasso6",63,TRUE,FALSE,NA,NA
"796","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:31:03,FALSE,NA,"803350515702702080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","javivi1974",63,TRUE,FALSE,NA,NA
"797","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:27:55,FALSE,NA,"803349729270779904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justinossp",63,TRUE,FALSE,NA,NA
"798","RT @rtve: ¿Por qué es tan importante interpretar 'La huella del fuego'? Lo descubrimos a las 23.30 h en La2 #CRincendios https://t.co/9MPvn…",FALSE,0,NA,2016-11-28 21:26:54,FALSE,NA,"803349472340283392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","perevivasclinic",63,TRUE,FALSE,NA,NA
