text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @AT_Brif: Finaliza una intensa y apasionante jornada #iCOPFires para los 32 participantes de @AT_Brif ,mañana continuamos! #BomberosFore…",FALSE,0.0,NA,2017-02-04T21:28:10Z,FALSE,NA,827992165154328576,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",_arborea,25.0,TRUE,FALSE,NA,NA
"RT @radiorecmusica: Des d'Anoia Rural, això t'interessa:... Ahir sortida pràctica d'#iCOPFires a #OlesaDeMontserrat amb participació d… htt…",FALSE,0.0,NA,2017-02-04T20:27:49Z,FALSE,NA,827976977005023233,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PauCostaF,1.0,TRUE,FALSE,NA,NA
RT @BRIFpradotwit: Queremos destacar la amplia participacion por parte del colectivo #BRIF desde el inicio el día 31 #2017FSS #iCOPFires ht…,FALSE,0.0,NA,2017-02-04T20:10:31Z,FALSE,NA,827972625674731523,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PauCostaF,11.0,TRUE,FALSE,NA,NA
"Bye #bcn, me llevo la mochila a reventar de lo que no pesa, no se ve,no sabe...pero te cambia x dentro.GRACIAS… https://t.co/l7pPOsv11L",FALSE,20.0,NA,2017-02-04T19:47:33Z,TRUE,NA,827966845424656384,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",extremadurafire,6.0,FALSE,FALSE,NA,NA
RT @BRIFpradotwit: Queremos destacar la amplia participacion por parte del colectivo #BRIF desde el inicio el día 31 #2017FSS #iCOPFires ht…,FALSE,0.0,NA,2017-02-04T19:40:25Z,FALSE,NA,827965049474076672,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",extremadurafire,11.0,TRUE,FALSE,NA,NA
RT @bomberscat: Crema prescrita #bomberscat #GRAF a Olesa de Montserrat en el marc del congrés internacional #iCOPFires @PauCostaF @IAWF #l…,FALSE,0.0,NA,2017-02-04T18:18:45Z,FALSE,NA,827944496390352897,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JordiTopo,28.0,TRUE,FALSE,NA,NA
RT @BRIFpradotwit: Queremos destacar la amplia participacion por parte del colectivo #BRIF desde el inicio el día 31 #2017FSS #iCOPFires ht…,FALSE,0.0,NA,2017-02-04T18:14:54Z,FALSE,NA,827943527464181760,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BrifPINO,11.0,TRUE,FALSE,NA,NA
@bomberscat @incendi #iCOPFires Bon viatge Marc!!!!✈️ . Mucho ánimo y a darle duro.#Yoquierovertemañana,FALSE,3.0,bomberscat,2017-02-04T17:44:18Z,FALSE,NA,827935830341722112,110946582,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JgbugalloJorge,0.0,FALSE,FALSE,NA,NA
"#goodbyebcn Me llevo la mochila a tope de lo que no se ve,no pesa,no se puede medir...sólo se puede sentir.Gracias… https://t.co/26qPNFuWH4",FALSE,2.0,NA,2017-02-04T17:34:28Z,TRUE,NA,827933351998849025,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",extremadurafire,0.0,FALSE,FALSE,NA,NA
"RT @bosgosu1159: @PauCostaF #iCOPFires gran congreso, ha sido un importante intercambio de experiencias de todo el mundo.",FALSE,0.0,NA,2017-02-04T16:42:32Z,FALSE,NA,827920282828541952,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PauCostaF,2.0,TRUE,FALSE,NA,NA
RT @Raulkillerm: Ha sido un enorme placer haber podido estar en #iCOPFires en Barna. Gran nivel de presentaciones y de personas. Gracias @P…,FALSE,0.0,NA,2017-02-04T16:02:29Z,FALSE,NA,827910204171907072,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vilallj,11.0,TRUE,FALSE,NA,NA
RT @linformatiu_tve: Màxima expectació! 250 bombers d'arreu #Europa hi són a la crema controlada a #Montserrat #ICOPFires @PauCostaF @bombe…,FALSE,0.0,NA,2017-02-04T15:30:23Z,FALSE,NA,827902128681271296,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bosgosu1159,8.0,TRUE,FALSE,NA,NA
RT @AT_Brif: #iCOPFires disfrutando y aprendiendo de este #Fieldtrip #RXFire junto @bomberscat @Agents_Rurals  @PauCostaF en Olesa de Monts…,FALSE,0.0,NA,2017-02-04T14:04:57Z,FALSE,NA,827880625667448833,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bomberos_infoma,19.0,TRUE,FALSE,NA,NA
"@PauCostaF #iCOPFires gran congreso, ha sido un importante intercambio de experiencias de todo el mundo.",FALSE,8.0,PauCostaF,2017-02-04T13:15:45Z,FALSE,NA,827868245248049152,294532115,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bosgosu1159,2.0,FALSE,FALSE,NA,NA
RT @guillemfrank: Rematando este #iCOPFires 2017 con las unidades de @bomberscat @PauCostaF @IAWF @Vallfirest https://t.co/cbBEZoxKF7,FALSE,0.0,NA,2017-02-04T12:32:42Z,FALSE,NA,827857411759362049,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CSIF_forestales,6.0,TRUE,FALSE,NA,NA
RT @loforestalillo: #iCOPFires #rxfire Gracias a todos los que nos habéis acompañado hoy en la quema prescrita de Puigventós @bomberscat ht…,FALSE,0.0,NA,2017-02-04T12:30:49Z,FALSE,NA,827856937664512001,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Raulkillerm,4.0,TRUE,FALSE,NA,NA
"RT @JuncalJun: Acaba #ICOPFires y nos llevamos una ""Prescribed Burning Toolbox"" llena @PauCostaF @Fuego_lab https://t.co/dUFxxJxLrS",FALSE,0.0,NA,2017-02-04T12:08:05Z,FALSE,NA,827851215891488770,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vilinddo3,6.0,TRUE,FALSE,NA,NA
RT @AT_Brif: #iCOPFires #Fieldtrip hoy estamos de quema prescrita #RXFire en Puigventos #Montserrat #Barcelona aprender de @bomberscat #GRA…,FALSE,0.0,NA,2017-02-04T11:05:18Z,FALSE,NA,827835418993377280,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",montsecanals46,14.0,TRUE,FALSE,NA,NA
RT @bomberscat: Crema prescrita #bomberscat #GRAF a Olesa de Montserrat en el marc del congrés internacional #iCOPFires @PauCostaF @IAWF #l…,FALSE,0.0,NA,2017-02-04T10:39:47Z,FALSE,NA,827828993961426944,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",OriolMadrid,28.0,TRUE,FALSE,NA,NA
